"fips","1.28.20","2.12.20","2.19.20","2.25.20","2.5.20","3.11.20","3.18.20","3.24.20","3.30.20","3.9.20","4.15.20","4.21.20","4.28.20","4.7.20","5.13.20","5.2.20","5.6.20"
"21105",0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
"21107",3,0,0,0,0,0,0,0,0,11,17,63,53,47,13,10,1
"21109",3,0,0,0,0,0,0,0,0,0,0,23,33,0,0,0,1
"21111",62,0,0,0,0,0,1,6,24,175,196,171,352,299,273,216,246
"21113",0,0,0,0,0,0,0,0,2,9,0,18,2,6,3,9,1
"21115",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0
"21117",41,0,0,0,0,0,0,0,8,8,54,36,63,78,93,68,71
"21119",0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
"21121",0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,1
"21123",0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0
"21125",0,0,0,0,0,0,0,0,0,1,0,10,2,1,5,2,0
"21127",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21131",0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1
"21133",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
"21135",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,1
"21137",1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2
"21139",1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0
"21141",19,0,0,0,0,0,0,0,2,1,0,5,0,0,7,54,25
"21143",0,0,0,0,0,0,0,1,1,0,0,11,0,0,0,1,0
"21145",0,0,0,0,0,0,0,0,2,1,8,13,6,18,15,10,12
"21147",0,0,0,0,0,0,0,0,0,2,0,7,1,1,0,2,0
"21149",1,0,0,0,0,0,0,0,0,0,4,2,2,4,4,1,1
"21151",0,0,0,0,0,0,0,0,2,1,8,10,0,7,3,4,10
"21153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"21155",1,0,0,0,0,0,0,0,0,0,1,10,2,3,1,0,0
"21157",1,0,0,0,0,0,0,0,0,1,0,11,4,17,0,1,2
"21159",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
"21161",0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,1
"21163",1,0,0,0,0,0,0,0,0,0,1,1,1,8,4,3,2
"21165",4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
"21167",0,0,0,0,0,0,0,0,0,1,0,7,2,0,0,2,0
"21169",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"21171",1,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0
"21173",1,0,0,0,0,0,0,1,1,0,0,6,1,2,0,2,3
"21175",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"21177",0,0,0,0,0,0,0,0,1,1,9,28,33,42,328,15,11
"21179",2,0,0,0,0,0,0,1,1,0,0,11,0,7,4,7,3
"21181",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21183",0,0,0,0,0,0,0,0,0,0,6,1,10,22,23,11,44
"21185",3,0,0,0,0,0,0,0,2,0,0,17,5,4,7,6,16
