"X2020.01.27.cases","X2020.02.03.cases","X2020.02.10.cases","X2020.02.17.cases","X2020.02.24.cases","X2020.03.02.cases","X2020.03.09.cases","X2020.03.16.cases","X2020.03.23.cases","X2020.03.30.cases","X2020.04.06.cases","X2020.04.13.cases","X2020.04.20.cases","X2020.04.27.cases","X2020.05.04.cases","X2020.05.11.cases","X2020.05.18.cases","X2020.01.27.deaths","X2020.02.03.deaths","X2020.02.10.deaths","X2020.02.17.deaths","X2020.02.24.deaths","X2020.03.02.deaths","X2020.03.09.deaths","X2020.03.16.deaths","X2020.03.23.deaths","X2020.03.30.deaths","X2020.04.06.deaths","X2020.04.13.deaths","X2020.04.20.deaths","X2020.04.27.deaths","X2020.05.04.deaths","X2020.05.11.deaths","X2020.05.18.deaths"
0,0,0,0,0,0,0,0,21,75,45,47,14,12,23,13,28,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,4,9,10,7,13,23,17,21,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2
0,0,0,0,0,0,0,0,1,8,10,38,6,12,10,11,7,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,2
0,0,0,0,0,0,0,0,0,6,28,69,64,143,45,221,56,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1
0,0,0,0,0,0,0,0,2,43,103,343,189,262,280,252,261,0,0,0,0,0,0,0,0,0,1,5,11,16,10,23,24,11
0,0,0,0,0,0,0,0,0,1,4,2,2,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,2,2,25,42,78,82,61,146,204,221,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,7,5
0,0,0,0,0,0,0,0,0,19,11,11,7,17,11,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,6,3,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,10,10,17,7,9,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,4,10,7,20,24,14,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,10,28,16,5,18,32,9,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0
0,0,0,0,0,0,0,0,0,1,9,18,20,5,10,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,11,16,13,14,11,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,3,19,64,64,80,43,45,10,42,34,0,0,0,0,0,0,0,0,0,0,5,0,1,3,4,4,2
0,0,0,0,0,0,0,0,0,1,9,13,17,15,26,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
0,0,0,0,0,0,0,0,1,5,14,18,9,11,6,9,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,1,11,19,76,86,82,23,30,38,0,0,0,0,0,0,0,0,0,1,0,6,5,5,2,23,15
0,0,0,0,0,0,0,3,6,19,46,46,33,42,42,47,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
0,0,0,0,0,0,0,0,3,28,23,29,6,4,7,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2,3,6,4,11,11,16,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3
0,0,0,0,0,0,0,0,0,2,11,18,18,9,14,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
0,0,0,0,0,0,0,0,0,2,1,1,5,2,5,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,16,44,27,43,24,16,18,6,11,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
