"fips","1.28.20","2.12.20","2.19.20","2.25.20","2.5.20","3.11.20","3.18.20","3.24.20","3.30.20","3.9.20","4.15.20","4.21.20","4.28.20","4.7.20","5.13.20","5.2.20","5.6.20"
"05087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05091",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"05093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"05095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05107",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"05109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05111",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"05113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05119",4,0,0,0,0,0,0,0,0,3,4,3,2,4,5,2,2
"05121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05123",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05125",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"05127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"05135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"05137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"05141",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"05143",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1
"05145",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"05147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"06001",4,0,0,0,0,0,0,0,2,5,8,8,20,12,11,8,12
"06003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06013",3,0,0,0,0,0,0,0,1,2,4,5,10,3,4,3,1
"06015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06019",5,0,0,0,0,0,0,0,0,0,3,2,2,0,2,1,7
"06021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"06025",5,0,0,0,0,0,0,0,0,0,3,0,2,3,1,4,5
"06027",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"06029",2,0,0,0,0,0,0,0,0,1,1,1,0,2,6,6,8
"06031",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"06033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06037",136,0,0,0,0,0,0,1,10,43,115,191,303,337,313,300,300
"06039",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"06041",0,0,0,0,0,0,0,0,0,5,5,0,0,2,2,0,0
"06043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"06045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06047",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2
"06049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06051",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"06053",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2
"06055",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"06057",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"06059",30,0,0,0,0,0,0,0,1,6,8,4,14,9,19,16,11
"06061",1,0,0,0,0,0,1,0,0,1,1,2,3,0,0,0,0
"06063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06065",20,0,0,0,0,0,0,3,3,7,15,22,43,48,43,41,45
"06067",0,0,0,0,0,0,1,1,2,3,14,7,7,6,6,3,6
"06069",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"06071",16,0,0,0,0,0,0,0,1,5,11,14,36,18,16,19,37
"06073",20,0,0,0,0,0,0,0,2,7,22,22,34,31,32,40,32
"06075",4,0,0,0,0,0,0,0,0,6,3,6,5,3,8,4,1
"06077",0,0,0,0,0,0,0,0,2,6,5,4,3,5,1,4,3
"06079",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"06081",1,0,0,0,0,0,0,1,0,9,11,0,7,20,8,9,10
"06083",1,0,0,0,0,0,0,0,0,0,2,0,3,2,2,2,0
"06085",1,0,1,1,0,0,2,4,11,14,13,17,28,15,15,9,7
"06087",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"06089",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
"06091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06095",4,0,0,0,0,0,0,0,0,0,2,0,1,1,2,5,5
"06097",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
"06099",2,0,0,0,0,0,0,0,0,0,0,4,0,6,5,7,4
"06101",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"06103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"06105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06107",4,0,0,0,0,0,0,0,0,1,5,7,9,13,5,12,19
"06109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06111",2,0,0,0,0,0,0,0,1,4,1,7,0,4,2,2,7
"06113",0,0,0,0,0,0,0,0,1,0,1,2,6,6,3,3,0
"06115",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"08001",7,0,0,0,0,0,0,0,0,2,12,13,19,15,11,12,20
"08003",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"08005",18,0,0,0,0,0,0,0,0,6,10,27,37,56,29,18,75
"08007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08013",1,0,0,0,0,0,0,0,0,2,1,11,4,15,13,10,4
"08014",1,0,0,0,0,0,0,0,0,1,1,0,0,7,7,4,4
"08015",1,0,0,0,0,0,0,0,0,1,1,1,1,9,3,0,1
"08017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08019",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"08021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08025",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"08027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08029",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"08031",14,0,0,0,0,0,0,0,0,7,24,25,35,54,43,26,71
"08033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08035",1,0,0,0,0,0,0,0,0,0,8,4,5,4,2,6,13
"08037",0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,1,0
"08039",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"08041",4,0,0,0,0,0,0,1,2,10,15,13,12,16,8,4,3
"08043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08045",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"08047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08051",0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0
"08053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08059",12,0,0,0,0,0,0,0,0,6,15,10,9,28,19,10,33
"08061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08063",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"08065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"08069",0,0,0,0,0,0,0,0,0,6,2,1,4,5,0,1,2
"08071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08075",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"08077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08083",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"08085",1,0,0,0,0,0,0,0,0,0,3,2,4,2,0,0,0
"08087",5,0,0,0,0,0,0,0,0,0,0,0,4,12,5,1,13
"08089",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"08091",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"08093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08097",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"08099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101",0,0,0,0,0,0,0,0,0,2,0,2,3,2,2,1,2
"08103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08107",0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0
"08109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08117",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"08119",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"08121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08123",1,0,0,0,0,0,0,1,1,10,15,28,14,19,19,10,7
"08125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09001",35,0,0,0,0,0,0,0,7,31,94,155,257,203,188,111,114
"09003",65,0,0,0,0,0,0,0,2,5,41,105,249,241,161,127,159
"09005",4,0,0,0,0,0,0,0,0,1,8,20,30,17,19,15,7
"09007",5,0,0,0,0,0,0,0,0,1,6,14,26,23,25,21,14
"09009",50,0,0,0,0,0,0,0,0,12,48,91,171,156,132,113,115
"09011",6,0,0,0,0,0,0,0,0,1,3,3,6,21,11,13,8
"09013",1,0,0,0,0,0,0,0,3,4,6,5,12,5,8,4,7
"09015",0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,7
"10001",3,0,0,0,0,0,0,0,0,2,1,4,7,9,9,11,10
"10003",11,0,0,0,0,0,0,0,0,6,3,11,16,27,20,17,35
"10005",4,0,0,0,0,0,0,0,0,2,2,12,16,19,21,21,22
"11001",18,0,0,0,0,0,0,0,2,9,11,45,45,78,74,72,64
"12001",0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2
"12003",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"12005",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"12007",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"12009",0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,1,2
"12011",4,0,0,0,0,0,0,1,2,9,42,27,45,53,36,43,24
"12013",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"12015",10,0,0,0,0,0,0,0,0,0,1,4,6,4,11,9,9
"12017",0,0,0,0,0,0,0,0,0,2,0,5,1,3,0,0,1
"12019",0,0,0,0,0,0,0,0,2,3,2,2,2,3,4,4,3
"12021",2,0,0,0,0,0,0,0,0,1,2,2,5,6,9,7,8
"12023",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"12027",1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,1
"12029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12031",5,0,0,0,0,0,0,0,3,1,6,4,3,3,6,3,7
"12033",4,0,0,0,0,0,0,0,0,0,2,2,6,1,3,5,2
"12035",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
"12037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12043",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"12045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12051",0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,6
"12053",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
"12055",0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,1,0
"12057",10,0,0,0,0,0,0,0,0,3,4,11,2,2,10,9,19
"12059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12061",0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,0
"12063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12065",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"12067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12069",1,0,0,0,0,0,0,0,0,0,2,2,3,3,4,0,0
"12071",4,0,0,0,0,0,1,1,0,6,6,5,10,11,9,20,19
"12073",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0
"12075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12079",0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
